name;coord_X;coord_Y
Hu;676500.148200002;983713.8695
Koøenov;666922.850099999;978044.800500002
Lounice;674501.9135;985455.369800001
Plavy;670653.211399999;983352.949499998
Vıdejní místo Pøíchovice;667920.614999998;979418.162999999
Rychnov u Jablonce nad Nisou;682730.1362;983922.557500001
Rádlo;684646.968699999;982099.965399999
Zlatá Olešnice;668091.475699998;983544.27
Zásada;674038.1886;983767.842300002
eleznı Brod;675701.404399998;989803.585000001
Smrovka;675099.702;979079.626800001
Hejnice;677761.442499999;962799.077199999
Kunratice u Cvikova;714553.086199999;970391.265999999
Oldøichov v Hájích;685041.861699998;965162.608199999
Karlovice u Turnova;679674.736900002;999371.086199999
Èeská Lípa 1;725633.158199999;978059.9285
Liberec 2;688815.544399999;974647.185800001
Prysk;728788.449000001;965399.854499999
Nová Ves nad Popelkou;666598.7223;1004428.8399
Pøíšovice;689197.1954;995237.698399998
Všeò;687806.365200002;997221.7973
Vyskeø;684288.506900001;1001177.352
Liberec 10;689511.332600001;974326.2524
Benešov u Semil;669055.8651;995352.752
Bozkov;670177.531300001;990450.649599999
Horní Branná;654331.325599998;995767.933499999
Háje nad Jizerou;664804.255800001;993910.5759
Libštát;665794.498399999;1000022.5235
Lomnice nad Popelkou;669172.153999999;1002775.1638
Martinice v Krkonoších;657264.514800001;998642.2357
Mírová pod Kozákovem;678012.6767;993723.885499999
Møíèná;661503.146400001;996061.648499999
Slaná u Semil;670834.6855;996999.763999999
Paseky nad Jizerou;664614.242800001;981835.5123
Tatobity;675860.3134;997438.897500001
Vysoké nad Jizerou;664975.7652;986126.695099998
Vítkovice v Krkonoších;656033.709600002;987998.800700001
Malá Skála;679973.2755;988903.514699999
Chrastava;693749.660700001;967847.254299998
Cvikov;717658.182700001;968955.8081
Frıdlant v Èechách;684230.171599999;957137.641600002
Horní Police;734576.211199999;974957.695099998
Hrádek nad Nisou;701694.582400002;962315.766199999
Kamenickı Šenov;728810.2086;967968.785100002
Liberec 14;687556.916499998;972170.038699999
Liberec 15;685393.3134;975032.2436
Liberec 25;687978.3532;977307.909299999
Liberec 30;686035.1974;976899.948899999
Mimoò;712925.9144;983187.693799999
Nové Mìsto pod Smrkem;673715.596500002;958063.694200002
Strá pod Ralskem;706530.707600001;979072.130899999
Èeská Lípa 6;724819.7071;977664.985100001
Èeskı Dub;693859.4745;985196.744600002
Tanvald;670964.5876;979538.3112
Pìnèín u Liberce;689134.868799999;993164.996100001
andov u Èeské Lípy;734987.821699999;973807.614599999
Liberec 33;692276.096799999;970973.520300001
Okna;718600.150199998;996930.065699998
Sychrov;688151.126499999;989905.3627
Zahrádky u Èeské Lípy;727511.3455;983756.046799999
Svor;719921.207800001;967023.122299999
Zásilkovna;687690.067000002;973715.261599999
Všelibice;697126.382100001;986450.673500001
Oseèná;698620.403299998;980736.626400001
Jablonné v Podještìdí;708732.2568;971472.100900002
Svìtlá pod Ještìdem;693823.844300002;979536.761599999
Dlouhı Most;687520.581300002;980292.511799999
Ralsko;708409.345600002;991754.6701
Skalice u Èeské Lípy;725244.941599999;971758.592300002
Liberec 11;689867.221299998;972639.333500002
Strá nad Nisou;690012.6307;971178.970199998
Rynoltice;704384.1248;969628.297699999
Mníšek u Liberce;687438.464699998;966807.4553
Dìtøichov;687708.786400001;960033.322000001
Chotynì;700115.463599999;964592.554099999
Bílı Kostel nad Nisou;696503.890700001;966657.707699999
Raspenava;680472.3226;960363.7674
Láznì Libverda;676828.368000001;961654.794100001
Višòová u Frıdlantu;687321.335099999;951673.561999999
Øasnice;678809.148600001;955504.254900001
Liberec 3;688969.873399999;976858.998
Liberec 1;687816.908300001;973704.625599999
Polevsko;724080.1248;967047.335999999
Jezvé;732662.3521;976023.3552
Horní Libchava u Èeské Lípy;728492.0491;974529.362
Pihel;724263.393599998;973286.329999998
Dobranov;721316.633000001;978906.555
Provodín;722136.423700001;986282.407400001
Èeská Lípa 2;725357.894699998;979142.157600001
Hamr u Èeské Lípy;704309.602899998;979112.203000002
Dubnice pod Ralskem;706015.0359;976403.3521
Brništì;713069.2718;975802.355300002
Volfartice;731056.953299999;971885.2062
Blíevedly;736458.812800001;985521.142099999
Kravaøe u Èeské Lípy;736593.510000002;982587.381499998
Dolní Koøenov;665317.807;976744.123
Benecko;654944.2601;989441.813000001
Jestøebí;723742.930599999;986964.821699999
Jesennı;669398.522;988066.318799999
Pøepeøe;686626.658199999;994858.981899999
DPD CZ, Depo - Jeømanice;686330.2894;981465.877099998
Jenišovice u Jablonce nad Nisou;684562.066500001;990096.346700002
Depo Èeská Lípa 70;725306.056600001;979139.469900001
